class_date,q_avg_14,q_current,peak_month,type,level_category,language,course_type,q_predicted
2018-03-03 07:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 08:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 08:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 09:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 09:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 10:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 10:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 11:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 11:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 12:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 12:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 13:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 13:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 14:00:00,0,0,1,4,True Beginner,Portuguese,Private,1.0
2018-03-03 14:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 15:00:00,0,0,1,4,True Beginner,Portuguese,Private,2.0
2018-03-03 15:30:00,0,0,1,4,True Beginner,Portuguese,Private,2.0
2018-03-03 16:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 16:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 17:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 17:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 18:00:00,0,0,1,4,True Beginner,Portuguese,Private,1.0
2018-03-03 18:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 19:00:00,0,0,1,4,True Beginner,Portuguese,Private,1.0
2018-03-03 19:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 20:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 20:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 21:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 21:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 22:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 22:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 23:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-03 23:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 00:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 00:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 01:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 01:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 02:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 02:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 03:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 03:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 04:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 04:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 05:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 05:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 06:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 06:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 07:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 07:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 08:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 08:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 09:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 09:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 10:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 10:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 11:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 11:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 12:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 12:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 13:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 13:30:00,0,0,1,4,True Beginner,Portuguese,Private,1.0
2018-03-04 14:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 14:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 15:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 15:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 16:00:00,0,0,1,4,True Beginner,Portuguese,Private,1.0
2018-03-04 16:30:00,0,0,1,4,True Beginner,Portuguese,Private,1.0
2018-03-04 17:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 17:30:00,0,0,1,4,True Beginner,Portuguese,Private,1.0
2018-03-04 18:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 18:30:00,0,0,1,4,True Beginner,Portuguese,Private,1.0
2018-03-04 19:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 19:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 20:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 20:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 21:00:00,0,0,1,4,True Beginner,Portuguese,Private,1.0
2018-03-04 21:30:00,0,0,1,4,True Beginner,Portuguese,Private,1.0
2018-03-04 22:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 22:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 23:00:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-03-04 23:30:00,0,0,1,4,True Beginner,Portuguese,Private,0.0
2018-02-26 00:00:00,9,0,1,5,High Beginner,Spanish,Live,12.0
2018-02-26 00:30:00,6,0,1,5,High Beginner,Spanish,Live,2.0
2018-02-26 01:00:00,3,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 01:30:00,2,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 02:00:00,1,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 02:30:00,1,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 03:00:00,0,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 03:30:00,0,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 04:00:00,2,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 04:30:00,2,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 05:00:00,2,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 05:30:00,2,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 06:00:00,4,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 06:30:00,4,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 07:00:00,5,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-26 07:30:00,7,0,1,5,High Beginner,Spanish,Live,1.0
2018-02-26 08:00:00,9,0,1,5,High Beginner,Spanish,Live,6.0
2018-02-26 08:30:00,11,0,1,5,High Beginner,Spanish,Live,6.0
2018-02-26 09:00:00,12,0,1,5,High Beginner,Spanish,Live,9.0
2018-02-26 09:30:00,16,0,1,5,High Beginner,Spanish,Live,14.0
2018-02-26 10:00:00,15,0,1,5,High Beginner,Spanish,Live,15.0
2018-02-26 10:30:00,19,0,1,5,High Beginner,Spanish,Live,19.0
2018-02-26 11:00:00,18,0,1,5,High Beginner,Spanish,Live,20.0
2018-02-26 11:30:00,19,0,1,5,High Beginner,Spanish,Live,18.0
2018-02-26 12:00:00,20,0,1,5,High Beginner,Spanish,Live,19.0
2018-02-26 12:30:00,21,0,1,5,High Beginner,Spanish,Live,17.0
2018-02-26 13:00:00,21,0,1,5,High Beginner,Spanish,Live,19.0
2018-02-26 13:30:00,19,0,1,5,High Beginner,Spanish,Live,22.0
2018-02-26 14:00:00,19,0,1,5,High Beginner,Spanish,Live,22.0
2018-02-26 14:30:00,22,0,1,5,High Beginner,Spanish,Live,22.0
2018-02-26 15:00:00,24,0,1,5,High Beginner,Spanish,Live,25.0
2018-02-26 15:30:00,22,0,1,5,High Beginner,Spanish,Live,27.0
2018-02-26 16:00:00,27,0,1,5,High Beginner,Spanish,Live,28.0
2018-02-26 16:30:00,27,0,1,5,High Beginner,Spanish,Live,30.0
2018-02-26 17:00:00,29,0,1,5,High Beginner,Spanish,Live,35.0
2018-02-26 17:30:00,35,0,1,5,High Beginner,Spanish,Live,34.0
2018-02-26 18:00:00,37,0,1,5,High Beginner,Spanish,Live,42.0
2018-02-26 18:30:00,40,0,1,5,High Beginner,Spanish,Live,43.0
2018-02-26 19:00:00,44,0,1,5,High Beginner,Spanish,Live,49.0
2018-02-26 19:30:00,45,0,1,5,High Beginner,Spanish,Live,50.0
2018-02-26 20:00:00,52,0,1,5,High Beginner,Spanish,Live,60.0
2018-02-26 20:30:00,56,0,1,5,High Beginner,Spanish,Live,63.0
2018-02-26 21:00:00,58,0,1,5,High Beginner,Spanish,Live,68.0
2018-02-26 21:30:00,58,0,1,5,High Beginner,Spanish,Live,69.0
2018-02-26 22:00:00,55,0,1,5,High Beginner,Spanish,Live,60.0
2018-02-26 22:30:00,41,0,1,5,High Beginner,Spanish,Live,48.0
2018-02-26 23:00:00,35,0,1,5,High Beginner,Spanish,Live,39.0
2018-02-26 23:30:00,24,0,1,5,High Beginner,Spanish,Live,27.0
2018-02-27 00:00:00,14,0,1,5,High Beginner,Spanish,Live,15.0
2018-02-27 00:30:00,9,0,1,5,High Beginner,Spanish,Live,9.0
2018-02-27 01:00:00,5,0,1,5,High Beginner,Spanish,Live,3.0
2018-02-27 01:30:00,4,0,1,5,High Beginner,Spanish,Live,1.0
2018-02-27 02:00:00,1,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-27 02:30:00,1,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-27 03:00:00,1,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-27 03:30:00,1,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-27 04:00:00,1,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-27 04:30:00,2,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-27 05:00:00,3,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-27 05:30:00,3,0,1,5,High Beginner,Spanish,Live,0.0
2018-02-27 06:00:00,5,0,1,5,High Beginner,Spanish,Live,2.0
2018-02-27 06:30:00,5,0,1,5,High Beginner,Spanish,Live,3.0
2018-02-27 07:00:00,6,0,1,5,High Beginner,Spanish,Live,3.0
2018-02-27 07:30:00,7,0,1,5,High Beginner,Spanish,Live,4.0
2018-02-27 08:00:00,8,0,1,5,High Beginner,Spanish,Live,4.0
2018-02-27 08:30:00,12,0,1,5,High Beginner,Spanish,Live,8.0
2018-02-27 09:00:00,15,0,1,5,High Beginner,Spanish,Live,14.0
2018-02-27 09:30:00,16,0,1,5,High Beginner,Spanish,Live,16.0
2018-02-27 10:00:00,20,0,1,5,High Beginner,Spanish,Live,18.0
2018-02-27 10:30:00,18,0,1,5,High Beginner,Spanish,Live,19.0
2018-02-27 11:00:00,22,0,1,5,High Beginner,Spanish,Live,22.0
2018-02-27 11:30:00,22,0,1,5,High Beginner,Spanish,Live,21.0
2018-02-27 12:00:00,21,0,1,5,High Beginner,Spanish,Live,21.0
2018-02-27 12:30:00,21,0,1,5,High Beginner,Spanish,Live,20.0
2018-02-27 13:00:00,20,0,1,5,High Beginner,Spanish,Live,19.0
2018-02-27 13:30:00,24,0,1,5,High Beginner,Spanish,Live,22.0
2018-02-27 14:00:00,24,0,1,5,High Beginner,Spanish,Live,24.0
2018-02-27 14:30:00,23,0,1,5,High Beginner,Spanish,Live,23.0
2018-02-27 15:00:00,24,0,1,5,High Beginner,Spanish,Live,26.0
2018-02-27 15:30:00,26,0,1,5,High Beginner,Spanish,Live,29.0
2018-02-27 16:00:00,25,0,1,5,High Beginner,Spanish,Live,24.0
2018-02-27 16:30:00,25,0,1,5,High Beginner,Spanish,Live,26.0
2018-02-27 17:00:00,30,0,1,5,High Beginner,Spanish,Live,34.0
2018-02-27 17:30:00,33,0,1,5,High Beginner,Spanish,Live,37.0
2018-02-27 18:00:00,35,0,1,5,High Beginner,Spanish,Live,40.0
2018-02-27 18:30:00,35,0,1,5,High Beginner,Spanish,Live,41.0
2018-02-27 19:00:00,40,0,1,5,High Beginner,Spanish,Live,50.0
2018-02-27 19:30:00,43,0,1,5,High Beginner,Spanish,Live,54.0
2018-02-27 20:00:00,47,0,1,5,High Beginner,Spanish,Live,58.0
2018-02-27 20:30:00,61,0,1,5,High Beginner,Spanish,Live,65.0
2018-02-27 21:00:00,59,0,1,5,High Beginner,Spanish,Live,70.0
2018-02-27 21:30:00,57,0,1,5,High Beginner,Spanish,Live,70.0
2018-02-27 22:00:00,60,0,1,5,High Beginner,Spanish,Live,70.0
2018-02-27 22:30:00,46,0,1,5,High Beginner,Spanish,Live,56.0
2018-02-27 23:00:00,34,0,1,5,High Beginner,Spanish,Live,45.0
2018-02-27 23:30:00,27,0,1,5,High Beginner,Spanish,Live,28.0
2018-02-28 00:00:00,17,0,1,5,High Beginner,Spanish,Live,28.0
2018-02-28 00:30:00,9,0,1,5,High Beginner,Spanish,Live,17.0
2018-02-28 01:00:00,7,0,1,5,High Beginner,Spanish,Live,15.0
2018-02-28 01:30:00,2,0,1,5,High Beginner,Spanish,Live,9.0
2018-02-28 02:00:00,2,0,1,5,High Beginner,Spanish,Live,8.0
2018-02-28 02:30:00,1,0,1,5,High Beginner,Spanish,Live,6.0
2018-02-28 03:00:00,0,0,1,5,High Beginner,Spanish,Live,5.0
2018-02-28 03:30:00,1,0,1,5,High Beginner,Spanish,Live,4.0
2018-02-28 04:00:00,1,0,1,5,High Beginner,Spanish,Live,5.0
2018-02-28 04:30:00,2,0,1,5,High Beginner,Spanish,Live,5.0
2018-02-28 05:00:00,2,0,1,5,High Beginner,Spanish,Live,5.0
2018-02-28 05:30:00,3,0,1,5,High Beginner,Spanish,Live,7.0
2018-02-28 06:00:00,5,0,1,5,High Beginner,Spanish,Live,8.0
2018-02-28 06:30:00,6,0,1,5,High Beginner,Spanish,Live,10.0
2018-02-28 07:00:00,7,0,1,5,High Beginner,Spanish,Live,12.0
2018-02-28 07:30:00,7,0,1,5,High Beginner,Spanish,Live,13.0
2018-02-28 08:00:00,10,0,1,5,High Beginner,Spanish,Live,16.0
2018-02-28 08:30:00,12,0,1,5,High Beginner,Spanish,Live,15.0
2018-02-28 09:00:00,18,0,1,5,High Beginner,Spanish,Live,24.0
2018-02-28 09:30:00,18,0,1,5,High Beginner,Spanish,Live,22.0
2018-02-28 10:00:00,21,0,1,5,High Beginner,Spanish,Live,27.0
2018-02-28 10:30:00,22,0,1,5,High Beginner,Spanish,Live,29.0
2018-02-28 11:00:00,21,0,1,5,High Beginner,Spanish,Live,29.0
2018-02-28 11:30:00,21,0,1,5,High Beginner,Spanish,Live,31.0
2018-02-28 12:00:00,22,0,1,5,High Beginner,Spanish,Live,30.0
2018-02-28 12:30:00,21,0,1,5,High Beginner,Spanish,Live,27.0
2018-02-28 13:00:00,21,0,1,5,High Beginner,Spanish,Live,30.0
2018-02-28 13:30:00,24,0,1,5,High Beginner,Spanish,Live,29.0
2018-02-28 14:00:00,20,0,1,5,High Beginner,Spanish,Live,29.0
2018-02-28 14:30:00,23,0,1,5,High Beginner,Spanish,Live,26.0
2018-02-28 15:00:00,26,0,1,5,High Beginner,Spanish,Live,29.0
2018-02-28 15:30:00,26,0,1,5,High Beginner,Spanish,Live,29.0
2018-02-28 16:00:00,29,0,1,5,High Beginner,Spanish,Live,36.0
2018-02-28 16:30:00,27,0,1,5,High Beginner,Spanish,Live,33.0
2018-02-28 17:00:00,28,0,1,5,High Beginner,Spanish,Live,41.0
2018-02-28 17:30:00,30,0,1,5,High Beginner,Spanish,Live,34.0
2018-02-28 18:00:00,34,0,1,5,High Beginner,Spanish,Live,40.0
2018-02-28 18:30:00,35,0,1,5,High Beginner,Spanish,Live,43.0
2018-02-28 19:00:00,40,0,1,5,High Beginner,Spanish,Live,48.0
2018-02-28 19:30:00,42,0,1,5,High Beginner,Spanish,Live,49.0
2018-02-28 20:00:00,45,0,1,5,High Beginner,Spanish,Live,57.0
2018-02-28 20:30:00,52,0,1,5,High Beginner,Spanish,Live,60.0
2018-02-28 21:00:00,51,0,1,5,High Beginner,Spanish,Live,66.0
2018-02-28 21:30:00,55,0,1,5,High Beginner,Spanish,Live,66.0
2018-02-28 22:00:00,46,0,1,5,High Beginner,Spanish,Live,65.0
2018-02-28 22:30:00,42,0,1,5,High Beginner,Spanish,Live,60.0
2018-02-28 23:00:00,31,0,1,5,High Beginner,Spanish,Live,53.0
2018-02-28 23:30:00,23,0,1,5,High Beginner,Spanish,Live,39.0
2018-03-01 00:00:00,14,0,1,5,High Beginner,Spanish,Live,19.0
2018-03-01 00:30:00,7,0,1,5,High Beginner,Spanish,Live,13.0
2018-03-01 01:00:00,6,0,1,5,High Beginner,Spanish,Live,9.0
2018-03-01 01:30:00,3,0,1,5,High Beginner,Spanish,Live,5.0
2018-03-01 02:00:00,2,0,1,5,High Beginner,Spanish,Live,3.0
2018-03-01 02:30:00,2,0,1,5,High Beginner,Spanish,Live,2.0
2018-03-01 03:00:00,1,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-01 03:30:00,0,0,1,5,High Beginner,Spanish,Live,0.0
2018-03-01 04:00:00,1,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-01 04:30:00,2,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-01 05:00:00,2,0,1,5,High Beginner,Spanish,Live,2.0
2018-03-01 05:30:00,3,0,1,5,High Beginner,Spanish,Live,3.0
2018-03-01 06:00:00,5,0,1,5,High Beginner,Spanish,Live,4.0
2018-03-01 06:30:00,6,0,1,5,High Beginner,Spanish,Live,5.0
2018-03-01 07:00:00,6,0,1,5,High Beginner,Spanish,Live,7.0
2018-03-01 07:30:00,7,0,1,5,High Beginner,Spanish,Live,6.0
2018-03-01 08:00:00,8,0,1,5,High Beginner,Spanish,Live,9.0
2018-03-01 08:30:00,9,0,1,5,High Beginner,Spanish,Live,10.0
2018-03-01 09:00:00,14,0,1,5,High Beginner,Spanish,Live,16.0
2018-03-01 09:30:00,17,0,1,5,High Beginner,Spanish,Live,18.0
2018-03-01 10:00:00,21,0,1,5,High Beginner,Spanish,Live,22.0
2018-03-01 10:30:00,21,0,1,5,High Beginner,Spanish,Live,22.0
2018-03-01 11:00:00,21,0,1,5,High Beginner,Spanish,Live,24.0
2018-03-01 11:30:00,21,0,1,5,High Beginner,Spanish,Live,24.0
2018-03-01 12:00:00,22,0,1,5,High Beginner,Spanish,Live,23.0
2018-03-01 12:30:00,20,0,1,5,High Beginner,Spanish,Live,22.0
2018-03-01 13:00:00,19,0,1,5,High Beginner,Spanish,Live,25.0
2018-03-01 13:30:00,17,0,1,5,High Beginner,Spanish,Live,23.0
2018-03-01 14:00:00,20,0,1,5,High Beginner,Spanish,Live,22.0
2018-03-01 14:30:00,20,0,1,5,High Beginner,Spanish,Live,22.0
2018-03-01 15:00:00,20,0,1,5,High Beginner,Spanish,Live,27.0
2018-03-01 15:30:00,24,0,1,5,High Beginner,Spanish,Live,26.0
2018-03-01 16:00:00,25,0,1,5,High Beginner,Spanish,Live,30.0
2018-03-01 16:30:00,26,0,1,5,High Beginner,Spanish,Live,30.0
2018-03-01 17:00:00,28,0,1,5,High Beginner,Spanish,Live,33.0
2018-03-01 17:30:00,28,0,1,5,High Beginner,Spanish,Live,31.0
2018-03-01 18:00:00,32,0,1,5,High Beginner,Spanish,Live,37.0
2018-03-01 18:30:00,38,0,1,5,High Beginner,Spanish,Live,39.0
2018-03-01 19:00:00,36,0,1,5,High Beginner,Spanish,Live,44.0
2018-03-01 19:30:00,38,0,1,5,High Beginner,Spanish,Live,46.0
2018-03-01 20:00:00,40,0,1,5,High Beginner,Spanish,Live,52.0
2018-03-01 20:30:00,45,0,1,5,High Beginner,Spanish,Live,54.0
2018-03-01 21:00:00,46,0,1,5,High Beginner,Spanish,Live,59.0
2018-03-01 21:30:00,43,0,1,5,High Beginner,Spanish,Live,55.0
2018-03-01 22:00:00,42,0,1,5,High Beginner,Spanish,Live,53.0
2018-03-01 22:30:00,37,0,1,5,High Beginner,Spanish,Live,47.0
2018-03-01 23:00:00,31,0,1,5,High Beginner,Spanish,Live,36.0
2018-03-01 23:30:00,22,0,1,5,High Beginner,Spanish,Live,26.0
2018-03-02 00:00:00,11,0,1,5,High Beginner,Spanish,Live,19.0
2018-03-02 00:30:00,9,0,1,5,High Beginner,Spanish,Live,11.0
2018-03-02 01:00:00,6,0,1,5,High Beginner,Spanish,Live,9.0
2018-03-02 01:30:00,4,0,1,5,High Beginner,Spanish,Live,4.0
2018-03-02 02:00:00,2,0,1,5,High Beginner,Spanish,Live,4.0
2018-03-02 02:30:00,1,0,1,5,High Beginner,Spanish,Live,2.0
2018-03-02 03:00:00,1,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-02 03:30:00,1,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-02 04:00:00,1,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-02 04:30:00,2,0,1,5,High Beginner,Spanish,Live,2.0
2018-03-02 05:00:00,2,0,1,5,High Beginner,Spanish,Live,3.0
2018-03-02 05:30:00,3,0,1,5,High Beginner,Spanish,Live,4.0
2018-03-02 06:00:00,4,0,1,5,High Beginner,Spanish,Live,5.0
2018-03-02 06:30:00,5,0,1,5,High Beginner,Spanish,Live,7.0
2018-03-02 07:00:00,7,0,1,5,High Beginner,Spanish,Live,8.0
2018-03-02 07:30:00,6,0,1,5,High Beginner,Spanish,Live,9.0
2018-03-02 08:00:00,10,0,1,5,High Beginner,Spanish,Live,12.0
2018-03-02 08:30:00,10,0,1,5,High Beginner,Spanish,Live,12.0
2018-03-02 09:00:00,15,0,1,5,High Beginner,Spanish,Live,16.0
2018-03-02 09:30:00,15,0,1,5,High Beginner,Spanish,Live,17.0
2018-03-02 10:00:00,16,0,1,5,High Beginner,Spanish,Live,18.0
2018-03-02 10:30:00,16,0,1,5,High Beginner,Spanish,Live,21.0
2018-03-02 11:00:00,18,0,1,5,High Beginner,Spanish,Live,19.0
2018-03-02 11:30:00,19,0,1,5,High Beginner,Spanish,Live,24.0
2018-03-02 12:00:00,19,0,1,5,High Beginner,Spanish,Live,22.0
2018-03-02 12:30:00,18,0,1,5,High Beginner,Spanish,Live,22.0
2018-03-02 13:00:00,18,0,1,5,High Beginner,Spanish,Live,23.0
2018-03-02 13:30:00,18,0,1,5,High Beginner,Spanish,Live,22.0
2018-03-02 14:00:00,18,0,1,5,High Beginner,Spanish,Live,25.0
2018-03-02 14:30:00,21,0,1,5,High Beginner,Spanish,Live,20.0
2018-03-02 15:00:00,20,0,1,5,High Beginner,Spanish,Live,25.0
2018-03-02 15:30:00,20,0,1,5,High Beginner,Spanish,Live,23.0
2018-03-02 16:00:00,23,0,1,5,High Beginner,Spanish,Live,28.0
2018-03-02 16:30:00,19,0,1,5,High Beginner,Spanish,Live,25.0
2018-03-02 17:00:00,24,0,1,5,High Beginner,Spanish,Live,28.0
2018-03-02 17:30:00,25,0,1,5,High Beginner,Spanish,Live,29.0
2018-03-02 18:00:00,27,0,1,5,High Beginner,Spanish,Live,33.0
2018-03-02 18:30:00,28,0,1,5,High Beginner,Spanish,Live,30.0
2018-03-02 19:00:00,28,0,1,5,High Beginner,Spanish,Live,34.0
2018-03-02 19:30:00,27,0,1,5,High Beginner,Spanish,Live,32.0
2018-03-02 20:00:00,28,0,1,5,High Beginner,Spanish,Live,35.0
2018-03-02 20:30:00,31,0,1,5,High Beginner,Spanish,Live,39.0
2018-03-02 21:00:00,35,0,1,5,High Beginner,Spanish,Live,41.0
2018-03-02 21:30:00,35,0,1,5,High Beginner,Spanish,Live,37.0
2018-03-02 22:00:00,29,0,1,5,High Beginner,Spanish,Live,32.0
2018-03-02 22:30:00,27,0,1,5,High Beginner,Spanish,Live,33.0
2018-03-02 23:00:00,22,0,1,5,High Beginner,Spanish,Live,26.0
2018-03-02 23:30:00,19,0,1,5,High Beginner,Spanish,Live,23.0
2018-03-03 00:00:00,11,0,1,5,High Beginner,Spanish,Live,12.0
2018-03-03 00:30:00,6,0,1,5,High Beginner,Spanish,Live,9.0
2018-03-03 01:00:00,4,0,1,5,High Beginner,Spanish,Live,5.0
2018-03-03 01:30:00,3,0,1,5,High Beginner,Spanish,Live,3.0
2018-03-03 02:00:00,2,0,1,5,High Beginner,Spanish,Live,2.0
2018-03-03 02:30:00,1,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-03 03:00:00,1,0,1,5,High Beginner,Spanish,Live,2.0
2018-03-03 03:30:00,0,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-03 04:00:00,0,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-03 04:30:00,1,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-03 05:00:00,0,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-03 05:30:00,1,0,1,5,High Beginner,Spanish,Live,1.0
2018-03-03 06:00:00,3,0,1,5,High Beginner,Spanish,Live,2.0
2018-03-03 06:30:00,4,0,1,5,High Beginner,Spanish,Live,3.0
2018-03-03 07:00:00,4,0,1,5,High Beginner,Spanish,Live,4.0
2018-03-03 07:30:00,5,0,1,5,High Beginner,Spanish,Live,5.0
2018-03-03 08:00:00,8,0,1,5,High Beginner,Spanish,Live,7.0
2018-03-03 08:30:00,8,0,1,5,High Beginner,Spanish,Live,9.0
2018-03-03 09:00:00,12,0,1,5,High Beginner,Spanish,Live,15.0
2018-03-03 09:30:00,17,0,1,5,High Beginner,Spanish,Live,18.0
2018-03-03 10:00:00,13,0,1,5,High Beginner,Spanish,Live,18.0
2018-03-03 10:30:00,18,0,1,5,High Beginner,Spanish,Live,20.0
2018-03-03 11:00:00,18,0,1,5,High Beginner,Spanish,Live,23.0
2018-03-03 11:30:00,17,0,1,5,High Beginner,Spanish,Live,20.0
2018-03-03 12:00:00,17,0,1,5,High Beginner,Spanish,Live,20.0
2018-03-03 12:30:00,17,0,1,5,High Beginner,Spanish,Live,18.0
2018-03-03 13:00:00,15,0,1,5,High Beginner,Spanish,Live,19.0
2018-03-03 13:30:00,15,0,1,5,High Beginner,Spanish,Live,15.0
2018-03-03 14:00:00,18,0,1,5,High Beginner,Spanish,Live,19.0
2018-03-03 14:30:00,14,0,1,5,High Beginner,Spanish,Live,19.0
2018-03-03 15:00:00,19,0,1,5,High Beginner,Spanish,Live,23.0
2018-03-03 15:30:00,18,0,1,5,High Beginner,Spanish,Live,23.0
2018-03-03 16:00:00,19,0,1,5,High Beginner,Spanish,Live,22.0
2018-03-03 16:30:00,20,0,1,5,High Beginner,Spanish,Live,27.0
